,Day,Date,Description,Temparature(Fareinheit)
0,शुक,्रवार12 जून,Showery. Mostly cloudy,28 / 25°C
1,शनि,वार13 जून,Light showers. More clouds than sun,31 / 26°C
2,रवि,वार14 जून,Thunderstorms. Broken clouds,33 / 27°C
3,सोम,वार15 जून,Light showers. Mostly cloudy,34 / 27°C
4,मंग,लवार16 जून,Broken clouds,36 / 27°C
5,बुध,वार17 जून,More clouds than sun,37 / 28°C
6,गुर,ुवार18 जून,Showers late. Overcast,36 / 29°C
7,शुक,्रवार19 जून,Light showers. Overcast,30 / 28°C
8,शनि,वार20 जून,Light showers. Breaks of sun late,34 / 27°C
9,रवि,वार21 जून,Light showers. Breaks of sun late,36 / 28°C
10,सोम,वार22 जून,Showers late. Increasing cloudiness,36 / 28°C
11,मंग,लवार23 जून,Scattered tstorms late. Overcast,36 / 28°C
12,बुध,वार24 जून,Light showers. Overcast,36 / 28°C
13,गुर,ुवार25 जून,Showers late. Overcast,36 / 28°C
14,शुक,्रवार26 जून,Scattered tstorms late. Overcast,36 / 28°C
